customer_id,customer_name,age,city,product_id,product_name,category,purchase_date,purchase_quantity,price_per_unit,total_spent
1,ronald miller,63.0,wilsonstad,141,granola,vegetable,2024-10-21,1.0,13.33,13.33
2,eric white,26.0,north brianside,172,organic apples,vegetable,2024-08-15,2.0,1.04,2.08
3,joseph wagner,59.0,lake derek,186,granola,dairy,2024-07-16,1.0,15.33,15.33
4,elizabeth house,43.0,cindyborough,110,granola,snack,2024-09-18,1.0,10.55,10.55
5,shawn warner,56.0,north hannah,147,fresh milk,snack,2024-10-09,1.0,12.25,12.25
6,benjamin neal,38.0,lake nicholasburgh,137,organic apples,snack,2024-07-10,1.0,1.27,1.27
7,danielle hayden,41.0,south meganborough,114,kale,organic,2024-05-09,4.0,17.78,71.12
8,william lee,46.0,ericabury,105,kale,snack,2024-07-25,1.0,14.81,14.81
9,steven brown,25.0,nicoleview,162,tofu,snack,2024-08-09,4.0,14.42,57.68
10,heidi brown,75.0,east mariaborough,106,fresh milk,dairy,2024-07-28,1.0,16.14,16.14
11,patrick snyder,73.0,south christopher,129,granola,organic,2024-08-21,3.0,15.95,47.85
12,brenda reed,38.0,lake joshua,129,kale,vegetable,2024-05-10,3.0,5.48,16.44
13,daniel hawkins,64.0,liview,191,almond butter,organic,2024-01-26,3.0,5.12,15.36
14,melissa barnes,25.0,north felicialand,164,almond butter,dairy,2024-11-01,4.0,13.51,54.04
16,cynthia lewis,60.0,west ricardo,100,kale,dairy,2024-03-20,3.0,10.74,32.22
17,michael callahan,54.0,vargasmouth,100,organic apples,organic,2024-06-13,3.0,12.63,37.89
18,megan charles,34.0,richardville,140,organic apples,dairy,2024-05-25,2.0,8.12,16.24
19,mrs. emily murphy,27.0,michaelmouth,172,almond butter,dairy,2024-02-27,2.0,19.5,39.0
20,william smith,24.0,lukeland,127,tofu,organic,2024-03-27,2.0,1.12,2.24
21,mr. cody haynes,30.0,jasonport,101,kale,snack,2024-05-25,1.0,482.05,482.05
22,kaitlin munoz,79.0,port williamport,118,fresh milk,snack,2024-07-04,3.0,17.68,53.04
23,matthew rodriguez,23.0,nataliefort,152,almond butter,vegetable,2024-03-03,1.0,12.49,12.49
24,steven fitzgerald,75.0,catherineburgh,129,fresh milk,vegetable,2024-07-26,3.0,19.27,57.81
25,henry evans,55.0,tanyaton,160,organic apples,dairy,2024-08-05,1.0,13.58,13.58
26,geoffrey owens,64.0,robertsshire,185,fresh milk,vegetable,2024-01-15,3.0,9.59,28.77
27,lawrence brown,67.0,south michaelton,190,fresh milk,snack,2024-09-15,2.0,16.3,32.6
28,robert everett,25.0,lakp brian,160,tofu,vegetable,2024-06-16,4.0,3.35,13.4
29,george jimenez,66.0,johnsonshire,181,tofu,organic,2024-03-23,4.0,16.8,67.2
30,donna williams,44.0,lewisfort,133,kale,snack,2024-03-11,4.0,11.74,46.96
31,stephanie allen,50.0,south andrew,183,almond butter,snack,2024-01-10,1.0,12.9,12.9
32,jonathan mcmahon,25.0,south jenniferfurt,163,fresh milk,dairy,2024-05-18,3.0,10.57,31.71
33,beverly knight,76.0,lake nicolechester,192,granola,vegetable,2024-04-23,3.0,18.9,56.7
34,carrie pena,19.0,turnerborough,107,tofu,snack,2024-10-01,2.0,4.51,9.02
35,brenda arroyo,53.0,pamelaport,189,fresh milk,organic,2024-05-04,4.0,10.14,40.56
36,robert thomas,65.0,new rachelmouth,170,organic apples,dairy,2024-08-23,2.0,17.92,35.84
37,thomas jackson,28.0,east cynthia,187,almond butter,dairy,2024-09-20,2.0,16.0,32.0
39,travis west,31.0,east rachel,106,kale,dairy,2024-04-02,3.0,7.58,22.74
40,michael byrd,28.0,west brian,157,granola,dairy,2024-09-09,4.0,12.62,50.48
41,james palmer,40.0,lake susan,147,organic apples,vegetable,2024-04-21,4.0,19.68,78.72
42,david jones,37.0,lake antonio,155,granola,dairy,2024-04-09,3.0,7.72,23.16
43,heidi clark,20.0,west marcus,153,kale,dairy,2024-01-22,3.0,5.27,15.81
44,theresa garza,48.0,vincentside,147,almond butter,vegetable,2024-10-23,4.0,12.12,48.48
45,timothy beasley,18.0,andersonchester,197,fresh milk,dairy,2024-06-21,2.0,14.93,29.86
46,allen parks,35.0,north alexis,124,almond butter,snack,2024-02-23,2.0,3.11,6.22
47,heather keller,62.0,west stephen,125,almond butter,dairy,2024-05-05,1.0,12.27,12.27
49,alison watkins,56.0,williamsstad,110,kale,organic,2024-02-29,2.0,14.81,29.62
50,teresa adams,76.0,zacharyburgh,188,tofu,dairy,2024-02-22,1.0,17.59,17.59
51,melissa wang,50.0,lake randallhaven,129,granola,snack,2024-01-29,3.0,19.24,57.72
52,mr. anthony gonzales,38.0,johnfurt,129,tofu,dairy,2024-04-17,3.0,17.55,52.650000000000006
53,betty calderon,48.0,flemingmouth,133,kale,organic,2024-10-07,3.0,5.39,16.169999999999998
54,valerie sanders,73.0,new robertberg,138,kale,snack,2024-05-06,2.0,9.42,18.84
55,mrs. denise dawson,30.0,barnettfurt,179,organic apples,organic,2024-05-25,3.0,9.79,29.37
56,kim murphy,49.0,south theresaview,128,organic apples,vegetable,2024-02-10,3.0,15.97,47.91
57,diane ford,67.0,hamiltonborough,157,kale,dairy,2024-08-17,4.0,13.52,54.08
58,todd atkinson,25.0,aarontown,145,organic apples,snack,2024-10-06,4.0,6.18,24.72
59,brittney wilson,67.0,east timothy,142,granola,snack,2024-08-15,4.0,17.57,70.28
60,mary larson,74.0,birdside,160,kale,vegetable,2024-01-23,1.0,6.62,6.62
61,laura mendoza,79.0,port amberchester,100,organic apples,vegetable,2024-01-30,4.0,16.06,64.24
62,nancy gonzalez,43.0,josephstad,176,almond butter,snack,2024-10-07,2.0,4.66,9.32
63,gregory daniel,24.0,port joanna,162,almond butter,dairy,2024-05-17,3.0,14.3,42.900000000000006
64,courtney eaton,24.0,port courtneyview,136,organic apples,organic,2024-07-18,1.0,12.07,12.07
65,cathy glenn,29.0,bartlettmouth,171,kale,organic,2024-07-16,2.0,8.86,17.72
66,nicholas lopez,39.0,wisetown,114,tofu,dairy,2024-04-27,2.0,2.98,5.96
67,mrs. gabrielle carroll,69.0,north tonya,179,organic apples,snack,2024-04-25,2.0,4.19,8.38
68,mary nelson,67.0,north patricia,187,kale,snack,2024-10-09,4.0,15.73,62.92
69,ryan stevenson,61.0,south jessemouth,167,tofu,dairy,2024-08-19,2.0,18.84,37.68
70,austin parker,76.0,port geraldview,165,granola,organic,2024-07-23,1.0,11.85,11.85
71,shawn khan,34.0,aprilview,129,fresh milk,vegetable,2024-05-02,4.0,16.0,64.0
72,virginia shepherd,57.0,south amyside,105,almond butter,snack,2024-09-22,1.0,5.74,5.74
73,jennifer reeves,39.0,nicholaschester,152,almond butter,vegetable,2024-10-14,3.0,11.7,35.099999999999994
74,timothy nelson,63.0,lake lorichester,131,kale,dairy,2024-05-13,1.0,18.09,18.09
75,joseph wells,64.0,east sonyaview,139,tofu,dairy,2024-07-25,1.0,12.18,12.18
77,jesse stein,58.0,port jonathan,176,fresh milk,vegetable,2024-01-05,3.0,7.74,23.22
78,james bryant,71.0,blakemouth,155,kale,dairy,2024-02-08,3.0,13.6,40.8
79,richard watson,19.0,brandyberg,110,almond butter,organic,2024-02-20,3.0,5.96,17.88
80,seth long,71.0,lawsonview,137,granola,snack,2024-09-27,1.0,18.35,18.35
81,jonathan edwards,34.0,morganbury,133,almond butter,organic,2024-10-12,1.0,19.3,19.3
82,larry wiggins,78.0,bakerfurt,113,tofu,organic,2024-07-18,2.0,1.26,2.52
83,renee gomez,41.0,lake brandon,178,tofu,organic,2024-10-01,4.0,14.22,56.88
84,krystal taylor,41.0,cooperborough,161,fresh milk,organic,2024-09-27,1.0,7.85,7.85
85,alicia campbell,25.0,joeltown,186,granola,vegetable,2024-05-28,3.0,11.46,34.38
86,william wood,30.0,lake anita,125,granola,organic,2024-01-29,3.0,14.28,42.84
87,allison fisher,48.0,west ryan,112,fresh milk,dairy,2024-03-13,2.0,4.4,8.8
88,ryan wright,63.0,colefort,174,granola,snack,2024-05-03,4.0,15.43,61.72
89,john dean,51.0,jonesmouth,182,almond butter,snack,2024-03-14,3.0,14.36,43.08
90,scott johnson,29.0,chavezshire,113,organic apples,organic,2024-05-17,2.0,5.64,11.28
91,shelby gonzalez,24.0,leeland,136,tofu,organic,2024-09-06,3.0,19.4,58.2
92,stacy woods,59.0,new diana,129,almond butter,organic,2024-02-08,4.0,8.31,33.24
93,ms. selena marquez,27.0,christopherton,157,almond butter,vegetable,2024-01-11,2.0,2.13,4.26
94,jacob foster,72.0,lake samanthaview,176,kale,snack,2024-01-01,4.0,8.64,34.56
95,preston kerr,31.0,michaelville,102,tofu,dairy,2024-08-27,2.0,17.32,34.64
96,patrick dixon,47.0,east marissaton,132,kale,organic,2024-03-22,3.0,5.5,16.5
97,erin rogers,71.0,garrisonbury,157,tofu,snack,2024-08-19,1.0,9.77,9.77
98,carl phillips,68.0,hardymouth,158,granola,snack,2024-08-08,4.0,13.9,55.6
100,raymond garcia,40.0,fosterburgh,140,tofu,dairy,2024-07-29,3.0,10.63,31.89
101,daniel choi,67.0,north meganberg,158,granola,vegetable,2024-10-05,1.0,10.11,10.11
102,kayla williams,20.0,port daltonside,103,fresh milk,vegetable,2024-08-09,4.0,7.27,29.08
103,toni gardner,71.0,jimenezview,190,almond butter,organic,2024-01-26,3.0,3.13,9.39
104,justin buckley,59.0,west frank,121,almond butter,vegetable,2024-09-30,3.0,15.69,47.07
105,sonya conway,79.0,port davidburgh,172,organic apples,snack,2024-04-17,2.0,8.8,17.6
106,andrew garza,57.0,west justin,163,fresh milk,organic,2024-05-05,4.0,8.17,32.68
107,brian greene,78.0,aguilarhaven,143,organic apples,vegetable,2024-05-14,4.0,16.15,64.6
108,jason mccormick,70.0,new loristad,132,kale,organic,2024-07-08,1.0,18.71,18.71
109,keith williams,27.0,michellefort,142,tofu,organic,2024-04-17,1.0,6.51,6.51
110,thomas shaw,35.0,calderonside,150,almond butter,vegetable,2024-04-18,3.0,15.08,45.24
111,rebecca anderson,27.0,easr kayla,101,kale,snack,2024-08-10,1.0,3.29,3.29
112,roger lara,63.0,west kellyberg,171,organic apples,dairy,2024-09-08,3.0,16.65,49.95
113,marco jacobson,60.0,portertown,102,kale,snack,2024-06-26,2.0,6.53,13.06
114,vanessa wood,55.0,gailview,111,granola,dairy,2024-04-01,1.0,17.69,17.69
115,matthew aguilar,79.0,juliachester,186,granola,vegetable,2024-03-18,3.0,7.52,22.56
116,calvin king,46.0,port edwin,170,granola,dairy,2024-09-27,1.0,1.1,1.1
117,david owens,35.0,north michaelstad,131,granola,organic,2024-08-30,1.0,12.42,12.42
118,paul weber,55.0,lake joeside,177,fresh milk,snack,2024-04-13,2.0,12.12,24.24
119,jason brown,59.0,south jamie,129,tofu,snack,2024-07-17,4.0,18.3,73.2
120,diana smith,46.0,new charles,189,tofu,vegetable,2024-02-02,4.0,14.44,57.76
121,scott sanchez,65.0,brandonmouth,182,organic apples,organic,2024-09-22,2.0,16.7,33.4
123,valerie blake,61.0,murphyborough,163,kale,vegetable,2024-09-01,1.0,14.71,14.71
124,christine burch,27.0,port aaron,110,tofu,snack,2024-04-14,4.0,4.58,18.32
125,cindy guzman,22.0,west jasontown,174,organic apples,snack,2024-02-24,1.0,17.67,17.67
126,donald ford,77.0,south susan,136,fresh milk,organic,2024-02-05,4.0,7.98,31.92
127,stephanie bentley,28.0,east troy,178,organic apples,snack,2024-10-24,2.0,19.46,38.92
128,joseph rivera,69.0,south kimberlyhaven,161,almond butter,snack,2024-02-27,3.0,2.3,6.9
129,mindy guzman,35.0,east joannaville,120,almond butter,snack,2024-07-09,2.0,10.12,20.24
130,christine nixon,79.0,east amychester,137,organic apples,snack,2024-02-04,2.0,13.09,26.18
131,olivia travis,71.0,franceston,180,granola,organic,2024-02-12,2.0,16.79,33.58
132,thomas fox,23.0,johnsonview,158,almond butter,snack,2024-03-26,1.0,3.95,3.95
133,jon baker,29.0,laceyport,162,fresh milk,organic,2024-08-08,2.0,18.84,37.68
134,dawn moses,18.0,new alexander,138,organic apples,vegetable,2024-03-21,4.0,12.15,48.6
135,nathan hill,58.0,new tracytown,192,organic apples,organic,2024-05-10,3.0,3.02,9.06
137,john clark,73.0,wilkinsview,161,organic apples,dairy,2024-08-25,3.0,1.09,3.2700000000000005
138,tara willis,52.0,lake barry,168,tofu,organic,2024-10-25,2.0,1.91,3.82
139,charles murray,53.0,lake joy,103,tofu,vegetable,2024-08-01,3.0,15.16,45.48
140,mr. david erickson md,71.0,molinatown,156,organic apples,dairy,2024-04-16,3.0,8.08,24.24
141,tiffany nguyen,63.0,east lori,113,almond butter,organic,2024-03-11,3.0,17.79,53.37
142,holly david,65.0,scottmouth,173,organic apples,dairy,2024-04-20,2.0,8.55,17.1
143,chad stephenson,55.0,new charlesmouth,178,kale,vegetable,2024-09-12,4.0,4.59,18.36
144,deanna roberts,39.0,port rachel,130,fresh milk,snack,2024-09-05,4.0,8.76,35.04
145,robert henry,69.0,kellyshire,118,tofu,snack,2024-08-08,3.0,8.88,26.64
146,dana moore,27.0,new karen,123,organic apples,snack,2024-03-14,3.0,18.49,55.47
147,steven thompson,64.0,hoffmanshire,158,tofu,organic,2024-01-26,4.0,8.78,35.12
148,kevin reed,52.0,griffinport,141,kale,snack,2024-04-01,4.0,12.98,51.92
149,lauren johnson,74.0,north ericstad,119,kale,vegetable,2024-04-25,4.0,17.74,70.96
150,ronnie rogers,44.0,portermouth,192,fresh milk,snack,2024-03-11,1.0,12.09,12.09
151,eddie wilcox,70.0,elizabethshire,153,kale,organic,2024-04-24,2.0,12.15,24.3
152,michael quinn,46.0,melissashire,190,tofu,snack,2024-05-09,1.0,15.11,15.11
153,david finley,60.0,raybury,151,granola,dairy,2024-11-06,3.0,19.49,58.47
154,keith parks,76.0,jameston,157,kale,organic,2024-09-20,4.0,17.52,70.08
155,kim taylor,30.0,annefurt,141,organic apples,vegetable,2024-09-24,2.0,15.45,30.9
156,derrick davis,19.0,brownside,184,almond butter,snack,2024-06-26,4.0,2.07,8.28
157,lisa nguyen,45.0,east staceyside,112,tofu,dairy,2024-07-13,3.0,1.33,3.99
158,pamela clarke,64.0,christopherborough,166,granola,organic,2024-03-25,4.0,7.86,31.44
159,kathryn bauer,45.0,west david,180,kale,organic,2024-04-11,1.0,9.4,9.4
160,jeremy werner,40.0,sethside,127,almond butter,vegetable,2024-01-25,4.0,9.44,37.76
162,olivia medina,35.0,south theresa,175,organic apples,organic,2024-04-20,3.0,5.59,16.77
163,teresa bryant,66.0,new tony,106,tofu,vegetable,2024-07-22,2.0,14.68,29.36
164,karen berry,31.0,port christine,120,organic apples,vegetable,2024-02-21,1.0,19.94,19.94
165,elizabeth rich,28.0,lake darrellport,106,fresh milk,organic,2024-02-21,4.0,11.45,45.8
166,robert harrison,33.0,west gabrielle,108,almond butter,snack,2024-04-19,1.0,6.41,6.41
167,patrick price,19.0,north andreaberg,111,almond butter,organic,2024-07-25,3.0,6.78,20.34
168,john cook,52.0,east katherine,120,granola,snack,2024-01-31,3.0,16.79,50.37
169,brian gonzalez,64.0,englishton,186,organic apples,organic,2024-04-28,1.0,427.9,427.9
170,justin bruce,28.0,lake adam,108,almond butter,dairy,2024-04-05,1.0,5.43,5.43
171,patricia lopez,33.0,hoganfurt,173,kale,snack,2024-01-02,4.0,12.69,50.76
173,maria thomas,19.0,joelfort,103,kale,organic,2024-03-05,1.0,12.85,12.85
175,jacob perry,37.0,port candacefurt,130,granola,vegetable,2024-09-09,2.0,4.25,8.5
176,christina smith,52.0,lake gregory,163,kale,dairy,2024-08-19,3.0,11.29,33.87
177,cameron foster,79.0,alexanderberg,170,organic apples,organic,2024-04-12,2.0,17.72,35.44
178,james sanchez,57.0,heberthaven,171,kale,dairy,2024-04-07,3.0,5.27,15.81
180,laura shaw,72.0,south kathryn,170,almond butter,snack,2024-07-26,3.0,11.89,35.67
181,christopher wright,47.0,blankenshipberg,181,organic apples,snack,2024-11-03,2.0,4.72,9.44
182,brianna nguyen,49.0,samanthaton,101,tofu,dairy,2024-10-18,4.0,6.77,27.08
183,tina lewis,79.0,arthurburgh,197,tofu,organic,2024-06-22,1.0,7.4,7.4
184,sean travis,61.0,hartfurt,107,tofu,snack,2024-08-31,4.0,13.93,55.72
185,michael wagner,57.0,north debrahaven,188,fresh milk,organic,2024-07-17,1.0,9.76,9.76
186,paula young,75.0,thomasmouth,138,tofu,snack,2024-01-15,3.0,8.95,26.85
187,john edwards,30.0,lake keith,131,fresh milk,dairy,2024-01-03,1.0,9.96,9.96
188,james parker,60.0,south joeborough,118,fresh milk,snack,2024-06-14,1.0,4.47,4.47
189,kayla santiago,56.0,catherinechester,171,almond butter,dairy,2024-05-29,3.0,9.27,27.81
190,catherine cruz,29.0,andersonborough,105,organic apples,organic,2024-10-02,1.0,9.78,9.78
191,bradley lyons,56.0,east james,105,granola,organic,2024-07-28,4.0,1.03,4.12
192,james taylor,54.0,wilsonview,191,organic apples,snack,2024-03-03,1.0,12.0,12.0
193,jennifer duncan,77.0,juanstad,120,organic apples,organic,2024-03-23,2.0,11.09,22.18
194,nicole thompson,45.0,rosestad,183,fresh milk,organic,2024-05-28,1.0,3.67,3.67
196,christopher nelson,65.0,south austin,192,fresh milk,snack,2024-10-23,4.0,12.22,48.88
197,wendy johnson,72.0,alanberg,188,granola,vegetable,2024-01-14,1.0,9.71,9.71
198,kelly hansen,43.0,sanchezstad,186,almond butter,organic,2024-01-31,1.0,11.44,11.44
199,jacob huang,56.0,north aaronberg,162,fresh milk,snack,2024-03-18,1.0,3.55,3.55
200,mrs. shannon lopez,41.0,south danachester,160,kale,snack,2024-10-16,2.0,17.49,34.98
201,stacy brown,61.0,lake danielberg,130,organic apples,snack,2024-01-01,2.0,17.25,34.5
202,benjamin padilla,28.0,west joseph,175,organic apples,snack,2024-09-08,4.0,16.41,65.64
203,william perry,41.0,west williammouth,109,almond butter,dairy,2024-06-24,2.0,1.04,2.08
204,mary davis,49.0,powellburgh,114,tofu,vegetable,2024-06-05,2.0,7.41,14.82
205,emily dalton,35.0,west andrew,165,almond butter,organic,2024-05-12,4.0,5.43,21.72
